player_no,song_code,song_name,artist_name,artist2_name
451,s0451,"Awesome God",R-Swift,
452,s0452,Nobody,"Casting Crowns","Matthew West"
453,s0453,"Mírenme Ahora","Myke Towers",
454,s0454,"Sweet Child O' Mine","Guns N' Roses",
455,s0455,"Speak 4 Em","Moneybagg Yo",
456,s0456,Agradecido,"Don Omar",
457,s0531,Narco,"Blaster Jaxx","Timmy Trumpet"
458,s0458,Yungen,"Jack Harlow","Rod Wave"
459,s0459,"Lemon Pepper Freestyle",Drake,"Rick Ross"
460,s0460,"Pa' Que Retozen","Tego Calderón",
461,s0461,"No Fear","DeJ Loaf",
462,s0462,"Doin' This","Luke Combs",
463,s0463,"Salve a San Antonio","Los Congos",
464,s0464,"I'm Real","Jennifer Lopez","Ja Rule"
465,s0465,"California Day","Common Kings",
466,s0685,"Yandel 150",Yandel,Feid
467,s0467,Paradise,"Dermot Kennedy",MEDUZA
468,s0830,"Ella Baila Sola","Eslabon Armado","Peso Pluma"
469,s0469,"Party On Fifth Ave.","Mac Miller",
470,s0470,"Jumbotron Poppin'",Drake,
471,s0471,Jungle,"Andre Nickatina",
472,s0472,De-Stress,Rebelution,
473,s0473,"Howlin' For You","The Black Keys",
474,s0903,"What I Can't Put Down","Jon Pardi",
475,s0475,"Friends In Low Places","Garth Brooks",
476,s0476,"The Show Goes On","Lupe Fiasco",
477,s0866,Stranglehold,"Ted Nugent",
478,s0478,"Black Hole Sun",Soundgarden,
479,s0479,Zoom,"Boosie Badazz","Yung Joc"
480,s0480,"The Four Horsemen",Metallica,
481,s0481,"The Spirit Of Radio",Rush,
482,s0482,Higher,Creed,
483,s0483,"Please Don't Go","Michael Posner",
484,s0484,JS4E,Arcangel,
485,s0485,"Apuesta A Mi","El Mayor Clasico",
486,s0486,"Con Cotorra No","El Sujeto",
487,s0487,red,HARDY,"Morgan Wallen"
488,s0488,"Wherever I May Roam",Metallica,
489,s0489,Unified,"Unified Highway",
490,s0490,Reborn,"Kid Cudi",
491,s0491,"El Centurión de la Noche","Joe Arroyo",
492,s0492,Ready,"Lil Ba",
493,s0810,"God's Gonna Cut You Down","Johnny Cash",
494,s0494,"What Makes You Country","Luke Bryan",
495,s0495,"Cut Me Up",Wacotron,
496,s0496,"Que No (Remix)","El Alfa",
497,s0733,25/8,"Bad Bunny",
498,s0498,"A Sky Full of Stars","Taron Egerton",
499,s0499,"Jimmy Cooks",Drake,"21 Savage"
500,s0500,"Money Trees","Kendrick Lamar","Jay Rock"
501,s0501,"Ms. Poli Sci","Paul Russell",Khary
502,s0838,"All My Life","Lil Durk",J.Cole
503,s0503,Cameras,Drake,
504,s0504,Blessings,Lecrae,
505,s0505,"Cooler than a Bitch",Gunna,
506,s0506,Walk,"Kodak Back",
507,s0507,"El Hokage","Eladio Carrion",
508,s0508,"Te Siento En Para","Liro Shaq","Ceky Viciny"
509,s0833,"Calm Down",Rema,"Selena Gomez"
510,s0510,"You Got It","Trip Lee",
511,s0511,"Gracias - Remix","Pedro Caop",Farruko
512,s0512,Rollin,"Calvin Harris",
513,s0513,"Voy a ser Grande","El Jeffrey",
514,s0514,"El Incromprendido",Furruko,
515,s0515,Throwback,B.O.B.,
516,s0516,"No Long Talk",Drake,
517,s0517,"La Jumpa",Arcángele,"Bad Bunny"
518,s0518,"Tu Me Quemas","Chino y Nacho",
519,s0519,Hikoutei,"King Gnu",
520,s0520,"The Outsiders","Eric Church",
521,s0521,"El Mundo Es Mio","Bad Bunny",
522,s0522,""Stop, Drop, Roll "","Kitchen Clean",
523,s0523,"Fire On the Mountain","Grateful Dead",
524,s0524,Sandstorm,Darude,
525,s0525,"Wake Up","Rage Against the Machine",
526,s0582,"Duffle Bag Boy","Playaz Circle","Lil Wayne"
527,s0527,""Shook Ones, Pt. II"","Mobb Deep",
528,s0528,"After Hours",charlieonnafriday,
529,s0529,"Tarzan Boy",Baltimora,
530,s0530,"Summer of '69","Bryan Adams",
531,s0531,Narco,"Blaster Jaxx","Timmy Trumpet"
532,s0532,Dura,"Daddy Yankee",
533,s0533,"Brother Louie",Stories,
534,s0534,"N****s in Paris",Jay-Z,"Kanye West"
535,s0535,"El Abayarde","Tego Calderón",
536,s0536,"Old Thing Back",Matoma,"The Notorious B.I.G."
537,s0537,"Si Lo Puedes Soñar","Eladio Carrion",
538,s0797,"Rock of Ages","Def Leppard",
539,s0539,"Big Poppa","The Notorious B.I.G.",
540,s0736,"Me Porto Bonito","Bad Bunny",
541,s0541,"I'm So Blessed - Best Day Remix",Cain,
542,s0542,"Dixieland Delight",Alabama,
543,s0654,Alive,"Kid Cudi",Ratatat
544,s0544,"Motley Crew","Post Malone",
545,s0681,Freestyle,"Lil Ba",
546,s0546,"Loud and Heavy","Cody Jinks",
547,s0547,"Sweet Home Alabama","Lynyrd Skynyrd",
548,s0548,Forever,Drake,"Kanye West"
549,s0549,"Counting Stars",OneRepublic,
550,s0550,"Electric Feel",MGMT,
551,s0551,"Till I Collapse",Eminem,"Nate Dogg"
552,s0552,"Type of Way","Rich Homie Quan",
553,s0553,Hello,"Pop Smoke","A Boogie Wit da Hoodie"
554,s0554,Intoxicated,"Martin Solveig","Good Times Ahead"
555,s0721,"Lay Low",Tiesto,
556,s0556,"The Scotts","Travis Scott",
557,s0557,"Locked Up",Akon,
558,s0558,"The Rev3nge","Joey Bada$$",
559,s0559,"Don't Play","Travis Scott",
560,s0560,"City of Gods","Fivio Foreign",Kanye
561,s0561,"Good For You","Good For You",
562,s0562,"Who? What?","Travis Scott",
563,s0563,"High Today","Wiz Khalifa",
564,s0564,"Hip Hop Hooray","Naughty By Nature",
565,s0565,"What's Beef","Biggie Smalls",
566,s0566,"I Was Made For Lovin' You",KISS,
567,s0567,Chimbala,Feliz,
568,s0568,Neverita,"Bad Bunny",
569,s0838,"All My Life","Lil Durk",J.Cole
570,s0570,Bendiciones,"Bad Bunny",
571,s0571,Rooster,"Alice in Chains",
572,s0572,"Rosa Parks",Outkast,
573,s0573,Sabotage,"Beastie Boys",
574,s0574,"Vale la Pena","Juan Luis Guerra 4.40",
575,s0575,"Lean Back","Terror Squad","Fat Joe"
576,s0643,"Welcome to the Jungle","Guns N' Roses",
577,s0577,"The End",NOAX,
578,s0578,Misericordia,"Onell Diaz",
579,s0579,"Messin' with the King","Olivia King",
580,s0580,"El Cero","El Chulo",
581,s0581,"In a Minute","Lil Ba",
582,s0582,"Duffle Bag Boy","Playaz Circle","Lil Wayne"
583,s0583,Ya'meen,"Method Man",
584,s0584,Aguanile,"Marc Anthony",
585,s0585,"Mi Ultima Dia","Tercer Cielo",
586,s0586,"It's a Beautiful Day",Trinix,Rushawn
587,s0587,"What You Know",T.I.,
588,s0588,"Caribou Lou","Tech N9ne",
589,s0589,"Serial Killa (Instrumental)","Snoop Dogg",
590,s0590,"Southside Still Holdin",E.S.G.,
591,s0591,"Rie & Llora","Celia Cruz",
592,s0592,"Quien (TV Remix)",Blessd,
593,s0593,"Danza Kuduro","Don Omar",
594,s0594,"It's My Life","Bon Jovi",
595,s0595,RICO,"Meek Mill",
596,s0596,"Blue Collar Boys","Luke Combs",
597,s0597,"Pegao / Me Miro y La Mire",Omega,
598,s0598,"Hot (Remix)","Young Thug","Travis Scott"
599,s0599,"Need It",Migos,
600,s0786,"Ride Wit Me",Nelly,"City Spud"
601,s0601,"Todo Esta Ok","Fixty Ordara y Ja Rulay",
602,s0602,"From 84","Mac Dre",
603,s0603,Kashmir,"Led Zeppelin",
604,s0809,"El Cachanilla","El Coyote y Su Banda Tierra Santa",
605,s0605,Rumble,Skrillex,
606,s0863,"Cold as You","Luke Combs",
607,s0607,Gladiador,"Eladio Carrion",
608,s0608,"I Won't Back Down","Tom Petty",
609,s0716,"Pour Some Sugar On Me","Def Leppard",
610,s0752,"When the Levee Breaks","Led Zeppelin",
611,s0611,"Narrow Road","NLE Choppa",
612,s0612,"Midnight Train to Memphis","Chris Stapleton",
613,s0613,"Fed Up",Ghostmane,
614,s0614,"Primera Cita",Servando,
615,s0615,"My Rocket","J. Monty",
616,s0616,Time,"Pink Floyd",
617,s0617,"The Well","Marcus King",
618,s0618,Ghost,"Kid Cudi",
619,s0619,"La Copa","Don Omar",
620,s0671,"Broke Boys",Drake,"21 Savage"
621,s0621,"South On Ya","Luke Combs",
622,s0622,"Yes Indeed",Drake,"Lil Ba"
623,s0623,Aspen,"The Jacka",
624,s0624,"Super Hero","Metro Boomin",
625,s0625,"Fire Squad","J. Cole",
626,s0626,"MONEY & FAME",NEEDTOBREATHE,
627,s0627,"That's Life","Frank Sinatra",
628,s0628,"Before I Let Go","Frankie Beverly",
629,s0629,AOK,"Tai Verdes",
630,s0630,"Look Ahead",Future,
631,s0631,"Top Drops","Fat Pat",
632,s0632,"Pimp Juice",Nelly,
633,s0633,Famous,"Kanye West",
634,s0634,Desahogo,Akim,
635,s0635,Flower,Mo,
636,s0636,"Hunger on Hillside","J. Cole",
637,s0637,"Grove St. Party","Waka Flocka Flame","Victor Cardenas"
638,s0638,422+222,"lil uzi vert",
639,s0639,"Que Piquete","Polo Joa",
640,s0640,"How Bad Do You Want It","Tim McGraw",
641,s0641,"I Am Second",Newsboys,
642,s0642,Plebada,"El Alfa x Peso Pluma",
643,s0643,"Welcome to the Jungle","Guns N' Roses",
644,s0644,"Still D.R.E.","Dr. Dre",
645,s0645,"Moreno Soy","La Sonora Ponceña","Papo Lucca"
646,s0571,Rooster,"Alice In Chains",
647,s0647,"Me Olvide de Vivir","Tono Rosario",
648,s0648,"Mr. Rager","Kid Cudi",
649,s0649,"Ch y la Pizza","Fuerza Regida",
650,s0650,"New Noise",Refused,
651,s0651,"Calm Down (Violin Cover)",Rema,
652,s0652,Socorro,"Jey One",
653,s0766,"Can't Be Touched","Roy Jones Jr.",
654,s0654,Alive,"Kid Cudi",Ratatat
655,s0655,"A Bay Bay (The Racthet Remix)","Hurricane Chris",
656,s0656,Renegade,Styx,
657,s0657,"Rulay & Pica Pollo","El Alfa","El Perrote Wz"
658,s0658,"Burning Up (Fire)",BTS,
659,s0659,"That's it",Future,"Lil Uzi Vert"
660,s0660,"Joker and the Thief",Wolfmother,
661,s0661,"Pinky Ring","Miky Woodz",
662,s0662,"Blue World","Mac Miller",
663,s0663,"Richard Millie Plain",Gunna,
664,s0664,"I Wanna Dance With Somebody","Whitney Houston",
665,s0665,"La Piri REMIX","Rochy Rod","El Cherry"
666,s0770,Evenflow,"Pearl Jam",
667,s0667,"Soul Survivor (Clean Version)","Akon and Jeezy",
668,s0668,Redbone,"Childish Gambino",
669,s0669,"No Sleep","Wiz Khalifa",
670,s0670,MAGIC,"Vince Staples",
671,s0671,"Broke Boys",Drake,"21 Savage"
672,s0672,"WWE: Here Comes the Money","Shane McMahon",
673,s0673,"De Donde Yo Salí","L Kimii","DJ Conds"
674,s0674,"Back in Black",AC/DC,
675,s0675,"El Trote","Rochy RD",
676,s0676,"Too Many Nights","Metro Boomin",
677,s0677,"Good God Almighty",Crowder,
678,s0678,Superstition,"Stevie Wonder",
679,s0679,"Blinding Lights","The Weeknd",
680,s0680,"Hay Santo","Rochy Rd","Jonatan Burlon"
681,s0681,Freestyle,"Lil Ba",
682,s0682,"Cost To Be Alive","Lil Ba",
683,s0683,"The Stroke","Billy Squire",
685,s0685,"Yandel 150",Yandel,Feid
686,s0686,"Keep Their Heads Ringin'","Dr. Dre",
687,s0687,"Sol Soldado","Juan Luis Guerra 4.40",
688,s0688,"Raindrops (Insane)","Metro Boomin","Travis Scott"
689,s0689,"Crank That","Soulja Boy",
691,s0691,"Andamos Mejor","Los Gemelos De Sinaloa",
692,s0692,"Show Me Love","Chance The Rapper",
694,s0694,"Every Chance I Get","DJ Khaled",Goldie
695,s0695,"So Many Tears",2Pac,
696,s0696,"72nd & Central",Proof,"J Hill"
697,s0697,HER,"Block B",
698,s0698,"For Whom The Bell Tolls",Metallica,
699,s0699,"Pour It Up",Rihanna,
700,s0700,Baianá,Bakermat,
702,s0702,Vampire,"Tribal Seeds","Whiteboy John"
703,s0703,"Nolia Clap",Juvenile,Wacko
704,s0704,Tata,"Eladio Carrión","J Balvin"
706,s0706,"Mob Ties",Drake,
707,s0707,"Esa Muchacha","Los Hermanis Rosario",
708,s0904,Bandoleros,"Don Omar","Tego Calderon"
709,s0709,"Real Joseador",""Secreto ""El Famoso Biberon"""",
710,s0710,"California Love",2Pac,"Dr. Dre"
711,s0711,"Night Shift","John Pardi","John Pardi"
712,s0712,"Heavy Is The Head","Zac Brown Band","Chris Cornell"
713,s0713,"Wild Trip",Denm,"Landon McNamara"
714,s0714,"Lucky Man","Montgomery Gentry",
715,s0715,"I Wrote The Book","Morgan Wallen",
716,s0716,"Pour Some Sugar On Me","Def Leppard",
717,s0717,"Wake Me Up Before You Go",Wham,
718,s0718,Intro,"The xx",
719,s0719,Thief,Ookay,
720,s0720,"Still Here",Drake,
721,s0721,"Lay Low",Tiesto,
722,s0722,"Gimme Shelter","The Rolling Stones",
723,s0723,"Rich Flex","Rich Flex",
724,s0724,Bailar,Deorro,"Elvis Crespo"
725,s0725,"Despues de la Playa","Bad Bunny",
726,s0726,"I'll Be There For You","The Rembrandts",
727,s0727,Satisfied,Rebelution,
728,s0728,"Since '84","Mac Dre",
729,s0729,Bootylicious,"Destiny's Child",
730,s0730,"The Imperial March","John Williams",
731,s0731,"Drop It Like It's Hot","Snoop Dogg",
732,s0732,Levels,Avicii,
733,s0733,25/8,"Bad Bunny",
734,s0734,"Just the Two of Us","Grover Washington Jr.",
735,s0735,"I'm So Humble","Lonely Island",
736,s0736,"Me Porto Bonito","Bad Bunny",
737,s0737,"Out There","Luke Combs",
738,s0738,"The Chain","Fleetwood Mac",
739,s0739,"Ain't No Rest for the Wicked","Cage the Elephant",
740,s0740,"The One","Lovd Ones",
741,s0741,"Gold Thangs & Pinky Rangs",Ramirez,
742,s0742,Loyal,Odesza,
743,s0743,"Like I Love You","Justin Timberlake",
744,s0744,"If You Want Blood (You've Got It)",AC/DC,
745,s0745,"Jumbotron Sh** Poppin",Drake,
746,s0746,"Had Enough","Don Toliver",
747,s0747,"Holler From The Holler","Stephen Wilson Jr.",
748,s0748,"Neon Grave","Tyler Braden",
749,s0749,"Killer Whale","Andre Nickatina",
750,s0750,"Bright Side of Life",Rebelution,
751,s0751,Revenge,"Joyner Lucas",
752,s0752,"When the Levee Breaks","Led Zeppelin",
753,s0753,Fireman,"Lil Wayne",
754,s0754,"Say Yes","Michelle Williams",
755,s0755,"Around the World","Around the World",
756,s0756,"Mambo Italiano (Trap Remix)","Andy White",
757,s0757,"Check My Brain","Alice In Chains",
758,s0758,""So Fresh, So Clean "",Outkast,
759,s0759,"Gangsta's Paradise",""Coolio, L.V."",
760,s0760,"Run This Town",JAY-Z,
761,s0761,"The Godfather Waltz","Nino Rota",
762,s0762,"Ve Por Tu Suevo","Lilly Goodman",
763,s0763,"Hell and Back","Kid Ink",
764,s0764,Levels,BigXthaPlug,
765,s0765,"Higher (Flume Remix)",Ta-Ku,
766,s0766,"Can't Be Touched","Roy Jones Jr.",
767,s0767,"Pepas - David Guetta Remix",Farruko,
768,s0768,"Little Wing","Stevie Ray Vaughn",
769,s0769,"My Own Summer (Shove It)",Deftones,
770,s0770,Evenflow,"Pearl Jam",
771,s0771,"The Way You Move",Outkast,
772,s0772,Layers,NF,
773,s0773,"Married To The Game",Future,
774,s0774,"Jump Around","House of Pain",
775,s0775,"Ameno Amapiano Remix (You Wanna Bamba)","Goya Menor",
776,s0776,Digits,"Young Thug",
777,s0777,"Hawai'i '78","Israel Kamakawiwo’ole",
778,s0778,"Dreamin Of The Past","Pusha T (feat. Kanye West)",
779,s0779,rodman,Mike.,
780,s0780,"Follow God","Kanye West",
781,s0833,"Calm Down",Rema,"Selena Gomez"
782,s0782,"Runnin Down A Dream","Tom Petty",
783,s0783,Desperado,Rihanna,
784,s0784,Stay,Stay,
785,s0785,"In The House",Crowder,
786,s0786,"Ride Wit Me",Nelly,"City Spud"
787,s0787,"Shake Ya Tailfeather",Nelly,
788,s0788,"Hold On","Lil Tjay",
789,s0789,"Hold Me Closer","Elton John",
790,s0790,Versace,Migos,
791,s0791,"Yep Dat's Me","Jamie Foxx",Ludacris
792,s0792,"Gogo Dance","El Alfa","El Alfa"
793,s0793,Trance,"Metro Boomin","Travis Scott"
794,s0794,"El Indio Enamorado","Grupo Laberinto",
795,s0795,"Hells Bells",AC/DC,
796,s0796,"Mbappé (Remix)","Eladio Carrión",
797,s0797,"Rock of Ages","Def Leppard",
798,s0798,"River of Life","Mac Powell",
799,s0799,"Mississippi Queen",Mountain,
800,s0800,"Back Down","50 Cent",
801,s0801,Chip,"The Real McKenzies",
802,s0903,"What I Can't Put Down","Jon Pardi",
803,s0803,Brother,NEEDTOBREATHE,"Gavin DeGraw"
804,s0804,"Ride The Lightning","Warren Zeiders",
805,s0805,"Public Service Announcement",Jay-Z,
806,s0806,"God's Country","Blake Shelton",
807,s0807,"Glitter Ain't Gold","Whiskey Myers",
808,s0907,"Use This Gospel","Kanye West",Clipse
809,s0809,"El Cachanilla","El Coyote y su Banda Tierra Santa",
810,s0810,"God's Gonna Cut You Down","Johnny Cash",
811,s0811,"Beautiful Day (Thank You for Sunshine)",Trinix,Rushawn
812,s0812,Fearless,"Pink Floyd",
813,s0813,"Where I Belong","Building 429",
814,s0814,"Yo Voy",Zion,
815,s0815,"Ay Si Ñiño","Rochy Rd","Mafeo 13"
816,s0816,Creere,"Tercer Cielo",
817,s0817,""Gin, Smoke, Lies"","Turnpike Troubadours",
818,s0818,Lenier,"Un Millon",
819,s0819,"Take It Easy",Eagles,
820,s0820,"Secret Crowds",Angels,
821,s0821,"Going to California","Led Zeppelin",
822,s0822,"The Search",NF,
823,s0823,"De Kabra A Tiguere","Rochy RD","Dilon Ba"
824,s0824,MVP,"Big L",
825,s0825,"Burn The House Down",AJR,
826,s0826,"Last Night","Morgan Wallen",
827,s0827,Estare,"Tercer Cielo",
828,s0828,"Simple Man","Lynyrd Skynyrd",
829,s0829,Dinero,Harryson,"Yomel El Meloso"
830,s0830,"Ella Baila Sola","Eslabon Armado","Peso Pluma"
831,s0831,Work,"Gang Starr",
832,s0832,"She Had Me at Heads Carolina","Cole Swindell",
833,s0833,"Calm Down",Rema,"Selena Gomez"
834,s0834,"In Bloom",Nirvana,
835,s0835,Empaquetate,Donaty,
836,s0836,"No Diggity",Blackstreet,"Dr. Dre"
837,s0837,"Rescue Story","Zach Williams",
838,s0838,"All My Life","Lil Durk",J.Cole
839,s0839,"Square Dance",Eminem,
840,s0828,"Simple Man","Lynyrd Skynyrd",
841,s0841,"Kickstart My Heart","Motley Crue",
842,s0842,"Con Calma","Daddy Yankee",Snow
843,s0843,"Come Together","Gary Clark Jr.","Junkie XL"
844,s0844,"Spread The Opps",Lecrae,
845,s0845,"Burning Man","Andrew Watt","Post Malone"
846,s0846,"Thunderkiss '65","White Zombie",
847,s0847,"Tops Drop","Fat Pat",
848,s0848,"Used To",Drake,
849,s0849,"Prime Time",BigXthaplug,
850,s0850,"Home Sweet","Russell Dickerson",
851,s0851,"Asi Soy Yo","Anuel AA","Bad Bunny"
852,s0852,"In The Bible","Morgan Wallen",HARDY
853,s0853,"Can't Stop","Red Hot Chilli Peppers",
854,s0854,"Sad But True",Metallica,
855,s0855,"Fuss and Fight","Ko Wetzel",
856,s0856,Bori,"6Ix9Ine feat Lenier",
857,s0857,Desires,"Drake with Future",
858,s0858,"Mexican Wind","Ryan Wilcox","The Sunday Shakes"
859,s0859,"The Hills","The Weeknd",
860,s0860,Runaway,"Bon Jovi",
861,s0861,"Manduko - Victor Porfidio Remix",Jimmix,Alfredo
862,s0862,"Money For Nothing","Dire Straights",
863,s0863,"Cold As You","Luke Combs",
864,s0864,Graves,Kb,"Brandon Lake"
865,s0865,"Suga Suga",Ba,
866,s0866,Stranglehold,"Ted Nugent",
867,s0867,"Las Avispas","Juan Luis Guerra",
868,s0880,"BUTTERFLY EFFECT","Travis Scott",
869,s0869,"Say It Ain't So",Weezer,
870,s0870,"Yungen (Clean)","Rod Wave","Jack Harlow"
871,s0871,"Feds Did a Sweep",Future,
872,s0872,Antidote,"Travis Scott",
873,s0873,"Alto Riesgo","Myke Towers",
874,s0874,"Quienes Son Ustedes","Eladio Carrion",
875,s0875,"Rock and Roll Band",Boston,
876,s0876,Hustlin',"Rick Ross",
877,s0877,"El Mechón","Banda MS de Sergio Lizárraga","Banda MS de Sergio Lizárraga"
878,s0878,"Stone Love",Pepper,
879,s0879,"Still Fly","Big Tymers",
880,s0880,"BUTTERFLY EFFECT","Travis Scott",
881,s0881,Sunrise,"Morgan Wallen",
882,s0882,Deliverance,"Bubba Sparxxx",
883,s0883,"La Resistencia PR",Redimi2,
884,s0884,"All Things","Chris Howland",
885,s0885,"Ven Espíritu Santo",Barak,
886,s0886,Money,"Pink Floyd",
887,s0887,"We Are Young",fun.,"Janelle Monáe"
888,s0888,"No Friends in the Industry",Drake,
889,s0889,"Remember When",Chevelle,
890,s0890,Goosebumps,"Travis Scott",
891,s0891,"Runnin’ Outta Moonlight","Randy Houser",
892,s0892,Tsunami,DVBBS,
893,s0893,"Hillbilly Deluxe","Brooks and Dunn",
894,s0894,"No Le Pegue A La Negra","Joe Arroyo",
895,s0895,MisUnderstood,"Lil Jairmy",
896,s0896,Sufriendo,MYLØ,"Zafra Negra"
897,s0897,"All The Small Things",Blink-182,
898,s0898,"BA BA","Braulio Fogon",
899,s0899,"Dirt On My Boots","Jon Pardi",
900,s0900,Carousel,"Travis Scott",
901,s0901,"Cada Quien","Grupo Firme",Maluma
902,s0902,"Going Bad","Meek Mill",Drake
903,s0903,"What I Can't Put Down","Jon Pardi",
904,s0904,Bandoleros,"Don Omar","Tego Calderon"
905,s0905,Invincible,"Pop Smoke",
906,s0906,"Tick Tick Boom","Sage The Gemini",BygTwo3
907,s0907,"Use This Gospel","Kanye West",Clipse
908,s0908,"Edge of Darkness","Great Van Fleet",
909,s0909,"Outlaw State of Mind","Chris Stapleton",
910,s0910,"(What This World Needs Is) A Few More Rednecks","Charlie Daniels Band",
